id,pair,timeframe,verdict,score,entry_price,entry_ts,tp_price,sl_price,pnl_pips,horizon_seconds,exit_price,resolved_at,outcome
79,INJUSD,1m,BUY,17,4.447,2026-08-10 10:24:22.350407,,,,300,4.463,2026-08-10 10:30:12.991020,up
80,LINKUSD,1m,BUY,16,8.222,2026-08-10 10:25:24.375226,,,,300,8.319,2026-08-10 10:31:13.025332,up
81,LTCUSD,1m,BUY,19,44.96,2026-08-10 10:26:16.358874,,,,300,44.94,2026-08-10 10:32:12.987794,down
82,AVAXUSD,1m,BUY,20,6.4875,2026-08-10 10:30:18.369487,,,,300,6.5095,2026-08-10 10:36:12.986884,up
83,BNBUSD,1m,BUY,19,603.49,2026-08-10 10:31:20.355915,,,,300,605.71,2026-08-10 10:37:13.028802,up
84,INJUSD,1m,BUY,16,4.446,2026-08-10 10:34:18.361106,,,,300,4.47,2026-08-10 10:40:12.987995,up
85,LINKUSD,1m,BUY,16,8.231,2026-08-10 10:35:16.355391,,,,300,8.2575,2026-08-10 10:41:13.018167,up
86,AVAXUSD,1m,BUY,16,6.4905,2026-08-10 10:44:20.357709,,,,300,6.4995,2026-08-10 10:50:12.989689,up
87,LINKUSD,1m,BUY,16,8.211,2026-08-10 10:44:22.350679,,,,300,8.226,2026-08-10 10:50:13.039542,up
88,ETCUSD,1m,BUY,16,6.481,2026-08-10 10:46:16.352200,,,,300,6.4975,2026-08-10 10:52:12.988843,up
89,INJUSD,1m,BUY,18,4.451,2026-08-10 10:48:22.351868,,,,300,4.45,2026-08-10 10:54:13.166828,down
90,BCHUSD,1m,BUY,22,215.19,2026-08-10 10:50:14.383873,,,,300,215.07,2026-08-10 10:56:12.990586,down
91,BNBUSD,1m,BUY,19,604.31,2026-08-10 10:50:20.367024,,,,300,607.14,2026-08-10 10:56:13.041005,up
92,AVAXUSD,1m,BUY,17,6.5045,2026-08-10 10:54:14.373105,,,,300,6.5225,2026-08-10 11:00:12.990347,up
93,INJUSD,1m,BUY,20,4.446,2026-08-10 11:02:22.387267,,,,300,4.469,2026-08-10 11:08:12.988166,up
94,LINKUSD,1m,BUY,15,8.212,2026-08-10 11:03:24.357192,,,,300,8.205,2026-08-10 11:09:13.022905,down
95,ETCUSD,1m,BUY,22,6.478,2026-08-10 11:14:24.358070,,,,300,6.482,2026-08-10 11:20:12.988616,up
96,AVAXUSD,1m,BUY,14,6.5065,2026-08-10 11:17:26.358417,,,,300,6.5555,2026-08-10 11:23:13.253840,up
97,TAOUSD,1m,BUY,19,203.59,2026-08-10 11:22:18.356582,,,,300,203.98,2026-08-10 11:28:12.981603,up
98,BTCUSD,1m,BUY,17,65022.54,2026-08-10 11:22:26.382884,,,,300,65031.41,2026-08-10 11:28:13.029747,flat
99,ETCUSD,1m,BUY,17,6.485,2026-08-10 11:24:16.359218,,,,300,6.5065,2026-08-10 11:30:12.988613,up
100,AVAXUSD,1m,BUY,19,6.5065,2026-08-10 11:27:18.360146,,,,300,6.5615,2026-08-10 11:33:13.123185,up
101,LINKUSD,1m,BUY,18,8.244,2026-08-10 11:27:20.352781,,,,300,8.311,2026-08-10 11:33:13.182966,up
102,INJUSD,1m,BUY,19,4.454,2026-08-10 11:31:18.369581,,,,300,4.465,2026-08-10 11:37:13.060535,up
103,TAOUSD,1m,BUY,16,204.32,2026-08-10 11:31:26.353311,,,,300,205.51,2026-08-10 11:37:13.112159,up
104,BTCUSD,1m,BUY,18,65019.65,2026-08-10 11:32:18.354357,,,,300,65023.94,2026-08-10 11:38:13.039294,flat
105,ETCUSD,1m,BUY,15,6.491,2026-08-10 11:33:24.366582,,,,300,6.5045,2026-08-10 11:39:13.023941,up
106,AVAXUSD,1m,BUY,22,6.5115,2026-08-10 11:36:24.369194,,,,300,6.5035,2026-08-10 11:42:12.982921,down
107,TAOUSD,1m,BUY,19,204.66,2026-08-10 11:41:16.349891,,,,300,204.95,2026-08-10 11:47:13.017946,up
108,LINKUSD,1m,BUY,18,8.25,2026-08-10 11:41:22.366544,,,,300,8.35,2026-08-10 11:47:13.076625,up
109,XMRUSD,1m,BUY,19,395.54,2026-08-10 11:49:22.367643,,,,300,,,pending
110,AVAXUSD,1m,BUY,18,6.5085,2026-08-10 11:51:14.368943,,,,300,,,pending
111,BTCUSD,1m,BUY,18,65014.01,2026-08-10 11:51:18.351790,,,,300,,,pending
112,SOLUSD,1m,BUY,21,76.782,2026-08-10 11:52:14.366457,,,,300,,,pending
