ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-20 21:15:00+00:00,1.05009,1.05033,1.05004,1.05028,264,0.0005955247993860235,39.84405384228121,67.452084025259,1.0472311392945215,1.0452198931890924
2025-02-20 21:30:00+00:00,1.05026,1.05032,1.05007,1.05019,256,0.0005708444565727262,40.063798883987104,66.20352093567958,1.0473471730476775,1.045269346988206
2025-02-20 21:45:00+00:00,1.0502,1.05021,1.05001,1.05012,302,0.0005443555668175299,40.063685479993204,65.1927456700529,1.0474559113595334,1.0453176121923033
2025-02-20 22:00:00+00:00,1.04956,1.04985,1.0494,1.04968,190,0.000556901597759123,38.2664703321957,59.0861580846853,1.0475431305219047,1.045361019036161
2025-02-20 22:15:00+00:00,1.04968,1.04978,1.04954,1.04965,210,0.0005342657693477584,36.59762769495517,58.68254843065473,1.047625752854379,1.0454036954636619
2025-02-20 22:30:00+00:00,1.04961,1.04973,1.04957,1.04969,423,0.0005075325001086442,35.047988103231816,59.08387115440015,1.047706703722835,1.0454463452600433
2025-02-20 22:45:00+00:00,1.04968,1.04975,1.04965,1.04974,433,0.0004784230358151688,33.653422525206516,59.611960845189714,1.0477864408317434,1.0454890681927793
2025-02-20 23:00:00+00:00,1.04983,1.05047,1.04973,1.05046,340,0.0004971071046855112,33.68979510481185,66.34756842781988,1.0478912862893222,1.0455385302008113
2025-02-20 23:15:00+00:00,1.05043,1.05046,1.05028,1.05041,289,0.0004744565972079638,33.7235696430168,65.53025607123949,1.0479900593760154,1.0455870025371217
2025-02-20 23:30:00+00:00,1.05042,1.05056,1.05006,1.05033,530,0.0004762811259788196,33.05999019531444,64.16822275504664,1.0480818217534267,1.0456341965417275
2025-02-20 23:45:00+00:00,1.05028,1.05031,1.04999,1.05003,411,0.00046654675983747585,32.228305893646386,59.19912960254323,1.048158220900351,1.0456779358796209
2025-02-21 00:00:00+00:00,1.05002,1.05003,1.04969,1.04986,730,0.0004575077055633709,30.583188513083094,56.52777601273434,1.0482249573356315,1.0457195484579331
2025-02-21 00:15:00+00:00,1.04987,1.04991,1.04927,1.04936,653,0.0004705428694516997,28.76937217772009,49.458673412816914,1.0482694688126655,1.0457557718563617
2025-02-21 00:30:00+00:00,1.04935,1.04949,1.04895,1.04896,640,0.00047550409306229156,27.745772253797533,44.64826807037936,1.0482965484670708,1.0457876547234626
2025-02-21 00:45:00+00:00,1.04898,1.04915,1.04891,1.04903,577,0.00045868237212927203,26.87450499730942,45.64460132771009,1.0483253112722837,1.0458199168655178
2025-02-21 01:00:00+00:00,1.04902,1.04914,1.04884,1.04904,774,0.0004473479169771788,26.20931810503966,45.794708602268294,1.0483533382812138,1.0458519574937215
2025-02-21 01:15:00+00:00,1.04906,1.04932,1.04868,1.04878,766,0.0004611087800502356,25.071474941288155,42.50781344510494,1.0483700701133232,1.0458810922450277
2025-02-21 01:30:00+00:00,1.04879,1.04889,1.04844,1.04861,965,0.0004603152957609375,24.538370316715373,40.462842253497705,1.048379479128487,1.0459082455560225
2025-02-21 01:45:00+00:00,1.04862,1.04886,1.04853,1.0487,896,0.0004510070603494378,24.04334459389779,42.05224270584557,1.0483920485744287,1.0459360242072062
2025-02-21 02:00:00+00:00,1.04869,1.04967,1.04865,1.04963,831,0.0004916494131816223,23.103387848020642,55.32438187251872,1.048440595689157,1.0459727801852439
2025-02-21 02:15:00+00:00,1.04964,1.04996,1.0494,1.0494,1079,0.000496531597954356,22.774357868864588,52.143593171553995,1.0484782193876214,1.0460068818749428
2025-02-21 02:30:00+00:00,1.04939,1.04982,1.04928,1.04968,1101,0.000499636483814758,22.158429871015528,55.497977908783824,1.0485253480390873,1.046043430313998
2025-02-21 02:45:00+00:00,1.04969,1.05033,1.04967,1.05027,896,0.000511091020685124,22.4678202379753,61.60495911785399,1.0485937657630446,1.0460854857337594
2025-02-21 03:00:00+00:00,1.05029,1.05036,1.04997,1.05015,958,0.0005024416620647502,22.802486218468196,59.807269414081965,1.0486547945566507,1.0461259286617817
